Project,Despach N° RA-20XX-XXXX,SampleID_Init,SampleID_Fin,TotalSample_SE,Weight SE,SampleType,Target,Laboratory,Prepared Method,Analytical Method,DispatchDate,Over Limit,Analytes,ReceivedDate,ResultDate,Workorder,Location,Responsible
BRAR,RA-2023-0080,BR0013056,BR0013112,57,144.65,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/4/2023,NA,NA,5/9/2023,6/23/2023,GQ2305478,VESPASIANO/MG,SDS
BRAR,RA-2023-0081,BR0013113,BR0013155,43,107.42,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/4/2023,NA,NA,5/9/2023,6/22/2023,GQ2305479,VESPASIANO/MG,SDS
BRAR,RA-2023-0082,BR0013156,BR0013201,46,122.78,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/4/2023,NA,NA,5/9/2023,6/23/2023,GQ2305480,VESPASIANO/MG,SDS
BRAR,RA-2023-0083,BR0013202,BR0013248,47,134.16,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,NA,5/22/2023,7/4/2023,GQ2306074,VESPASIANO/MG,SDS
BRAR,RA-2023-0084,BR0013249,BR0013302,54,141.36,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,NA,5/22/2023,6/30/2023,GQ2306075,VESPASIANO/MG,SDS
BRAR,RA-2023-0085,BR0013303,BR0013341,39,103.93,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/22/2023,7/5/2023,GQ2306076,VESPASIANO/MG,SDS
BRAR,RA-2023-0086,BR0013342,BR0013377,36,83.41,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/22/2023,6/28/2023,GQ2306077,VESPASIANO/MG,SDS
BRAR,RA-2023-0087,BR0013378,BR0013425,48,133.96,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/22/2023,6/28/2023,GQ2306078,VESPASIANO/MG,SDS
BRAR,RA-2023-0088,BR0013426,BR0013482,57,160.58,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/22/2023,7/4/2023,GQ2306079,VESPASIANO/MG,SDS
BRAR,RA-2023-0089,BR0013483,BR0013549,67,190.09,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,5/22/2023,7/10/2023,GQ2306080,VESPASIANO/MG,SDS
BRAR,RA-2023-0090,BR0013550,BR0013593,44,123.15,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,5/22/2023,7/6/2023,GQ2306081,VESPASIANO/MG,SDS
